Deck,VHS,Timestamp,Note
VHS A,"1010 Entertain Tape L King Thurs 97 May 15.mp4",2025-01-25 10:08,
VHS A,"1016 Entertain Tape Sat 97 May 24.mp4",2025-01-25 17:02,
VHS A,"765 Entertain Tape Sat 95 Dec 23.mp4",2025-01-25 23:16,
VHS B,"761 Entertain Tape Sun 95 Dec 17-19",2025-01-25 23:18,
VHS A,"620 News Ent Tonight Fri 95 Sep 22-24.mp4",2025-01-26 09:48,
VHS B,"1014 Entertain Tape Sat 97 May 24",2025-01-26 09:52,
VHS C,"645 News Ent Tonight Sun 95 Dec 17-19",2025-01-26 09:55,
VHS A,"639 News Ent Tonight Wed 95 Nov 22-26.mp4",2025-01-26 17:06,
VHS C,"640 News Ent Tonight Mon 95 Nov 27",2025-01-26 17:08,
